Timestamp,File,Message
Mar 16 17:05:16,/var/log/bootstrap.log,/usr/lib/tmpfiles.d/systemd.conf:23: Failed to resolve group 'systemd-journal': No such process
Mar 16 17:05:16,/var/log/bootstrap.log,/usr/lib/tmpfiles.d/systemd.conf:28: Failed to resolve group 'systemd-journal': No such process
Mar 16 17:05:16,/var/log/bootstrap.log,/usr/lib/tmpfiles.d/systemd.conf:29: Failed to resolve group 'systemd-journal': No such process
Mar 16 17:05:16,/var/log/bootstrap.log,/usr/lib/tmpfiles.d/systemd.conf:30: Failed to resolve group 'systemd-journal': No such process
Mar 16 17:05:16,/var/log/auth.log,2025-03-16T16:29:10.857624-07:00 ubuntu dbus-daemon[590]: [system] Failed to activate service 'org.bluez': timed out (service_start_timeout=25000ms)
Mar 16 17:05:16,/var/log/gpu-manager.log,Error: can't access /sys/bus/pci/devices/0000:00:02.0/driver
Mar 16 17:05:16,/var/log/gpu-manager.log,Error : Failed to open /dev/dri
Mar 16 17:05:16,/var/log/gpu-manager.log,Error : Failed to open /dev/dri
Mar 16 17:05:16,/var/log/gpu-manager.log,Error : Failed to open /dev/dri
Mar 16 17:05:16,/var/log/gpu-manager.log,Error : Failed to open /dev/dri
